Name,Province,Fuel,Capacity,Status,Units Included
An Khánh - Bac Giang,Bac Giang,Coal,650.0,3 permitted,An Khánh - Bac Giang
An Khánh 1,Thai Nguyen,Coal,116.0,5 operating,"An Khánh 1 Unit 1, An Khánh 1 Unit 2"
Bà Rịa GT,Bà Rịa-Vũng Tàu,Gas,46.0,5 operating,Bà Rịa GT
Bạc Liêu 1,Bạc Liêu,Coal,1200.0,9 cancelled,"Bạc Liêu 1 Unit 1, Bạc Liêu 1 Unit 2"
Cam Pha 3,Quảng Ninh,Coal,440.0,1 announced,"Cam Pha 3 Unit 1, Cam Pha 3 Unit 2"
Cao Ngạn,Thai Nguyen,Coal,114.0,5 operating,"Cao Ngạn Unit 1, Cao Ngạn Unit 2"
Cong Thanh,Thanh Hóa,Coal,600.0,9 cancelled,"Cong Thanh Unit 1, Cong Thanh Unit 2"
Cà Mau I,Cà Mau,Gas,771.0,5 operating,Cà Mau I
Cà Mau II,Cà Mau,Gas,771.0,5 operating,Cà Mau II
Cẩm Phả 1,Quảng Ninh,Coal,340.0,5 operating,Cẩm Phả 1
Cẩm Phả 2,Quảng Ninh,Coal,340.0,5 operating,Cẩm Phả 2
Dong Nai Formosa,Đồng Nai,Coal,150.0,1 announced,Dong Nai Formosa Unit 3
Dong Nai Formosa,Đồng Nai,Coal,300.0,5 operating,"Dong Nai Formosa Unit 1, Dong Nai Formosa Unit 2"
Duc Giang - Lao Cai Chemical,Lao Cai,Coal,100.0,2 pre-permit,"Duc Giang - Lao Cai Chemical Unit 1, Duc Giang - Lao Cai Chemical Unit 2"
Dung Quat Special Economic Zone (J-Power) Phase I,Quảng Ngãi,Coal,2400.0,1 announced,Dung Quat Special Economic Zone (J-Power) Phase I
Dung Quat Special Economic Zone (J-Power) Phase II,Quảng Ngãi,Coal,2000.0,1 announced,Dung Quat Special Economic Zone (J-Power) Phase II
Duyen Hai 1,Tra Vinh,Coal,1244.0,5 operating,"Duyen Hai 1 Unit 1, Duyen Hai 1 Unit 2"
Duyen Hai 2,Tra Vinh,Coal,600.0,5 operating,Duyen Hai 2 Unit 1
Duyen Hai 3,Tra Vinh,Coal,1244.0,5 operating,"Duyen Hai 3 Unit 1, Duyen Hai 3 Unit 2"
Duyen Hai 3 Extension,Tra Vinh,Coal,660.0,5 operating,Duyen Hai 3 Extension
Duyên Hải 2,Tra Vinh,Coal,1200.0,5 operating,"Duyên Hải 2 Unit 1, Duyên Hải 2 Unit 2"
Formosa HT2,Hà Tĩnh,Coal,650.0,1 announced,Formosa HT2
Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh,Coal,450.0,2 pre-permit,"Ha Tinh Formosa Plastics Steel Complex Unit 10, Ha Tinh Formosa Plastics Steel Complex Unit 6, Ha Tinh Formosa Plastics Steel Complex Unit 7"
Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh,Coal,450.0,5 operating,"Ha Tinh Formosa Plastics Steel Complex Unit 1, Ha Tinh Formosa Plastics Steel Complex Unit 2, Ha Tinh Formosa Plastics Steel Complex Unit 5"
Hai Duong,Hai Duong,Coal,1200.0,5 operating,"Hai Duong Unit 1, Hai Duong Unit 2"
Hai Ha CHP Phase 1,Quảng Ninh,Coal,150.0,2 pre-permit,"Hai Ha CHP Phase 1 Unit 1, Hai Ha CHP Phase 1 Unit 2, Hai Ha CHP Phase 1 Unit 3"
Hai Ha CHP Phase 2,Quảng Ninh,Coal,750.0,2 pre-permit,"Hai Ha CHP Phase 2 Unit 1, Hai Ha CHP Phase 2 Unit 2, Hai Ha CHP Phase 2 Unit 3, Hai Ha CHP Phase 2 Unit 4, Hai Ha CHP Phase 2 Unit 5"
Hai Ha CHP Phase 3,Quảng Ninh,Coal,600.0,2 pre-permit,"Hai Ha CHP Phase 3 Unit 1, Hai Ha CHP Phase 3 Unit 2"
Hai Ha CHP Phase 4,Quảng Ninh,Coal,600.0,2 pre-permit,"Hai Ha CHP Phase 4 Unit 1, Hai Ha CHP Phase 4 Unit 2"
Hai Phong 1,Hải Phòng,Coal,600.0,5 operating,"Hai Phong 1 Unit 1, Hai Phong 1 Unit 2"
Hai Phong 2,Hải Phòng,Coal,600.0,5 operating,"Hai Phong 2 Unit 3, Hai Phong 2 Unit 4"
Hai Phong 3,Hải Phòng,Coal,1200.0,2 pre-permit,"Hai Phong 3 Unit 1, Hai Phong 3 Unit 2"
Hải Phòng,Hải Phòng,Gas,500.0,1 announced,Hải Phòng
LNG Bà Rịa 2,Bà Rịa-Vũng Tàu,Gas,1200.0,1 announced,LNG Bà Rịa 2
LNG Bình Định,Bình Định,Gas,5000.0,2 proposed,LNG Bình Định
LNG Bạc Liêu,Bạc Liêu,Gas,3200.0,3 added to PDP,LNG Bạc Liêu
LNG Bến Tre,Bến Tre,Gas,3000.0,2 proposed,LNG Bến Tre
LNG Chân Mây,Huế,Gas,4000.0,2 proposed,LNG Chân Mây
LNG Cà Mau 1,Cà Mau,Gas,1500.0,2 proposed,LNG Cà Mau 1
"LNG Cà Mau 2,3",Cà Mau,Gas,3000.0,2 proposed,"LNG Cà Mau 2,3"
LNG Cà Ná,Ninh Thuan,Gas,1500.0,3 added to PDP,LNG Cà Ná
LNG Cà Ná II+III,Ninh Thuan,Gas,4500.0,2 proposed,LNG Cà Ná II+III
LNG Cái Mép Hạ,Bà Rịa-Vũng Tàu,Gas,6000.0,2 proposed,LNG Cái Mép Hạ
LNG Hiệp Phước (phase I),TP HCM,Gas,1200.0,4 Construction,LNG Hiệp Phước (phase I)
LNG Hiệp Phước (phase II),TP HCM,Gas,1500.0,1 announced,LNG Hiệp Phước (phase II)
LNG Hà Tĩnh,Hà Tĩnh,Gas,6000.0,2 proposed,LNG Hà Tĩnh
LNG Hải Lăng,Quảng Trị,Gas,1500.0,4 Construction,LNG Hải Lăng
LNG Hải Lăng (2 and 3),Quảng Trị,Gas,4500.0,2 proposed,LNG Hải Lăng (2 and 3)
LNG Hải Phòng 1 (Tiên Lãng),Hải Phòng,Gas,4500.0,2 proposed,LNG Hải Phòng 1 (Tiên Lãng)
LNG Hải Phòng 2 (Cát Hải),Hải Phòng,Gas,1600.0,2 proposed,LNG Hải Phòng 2 (Cát Hải)
LNG Hải Phòng 3 (Cát Hải),Hải Phòng,Gas,4500.0,2 proposed,LNG Hải Phòng 3 (Cát Hải)
LNG Hải Phòng 4 (Đồ Sơn),Hải Phòng,Gas,4500.0,2 proposed,LNG Hải Phòng 4 (Đồ Sơn)
LNG Long An I,Long An,Gas,1500.0,3 added to PDP,LNG Long An I
LNG Long An I phase 2,Long An,Gas,1500.0,1 announced,LNG Long An I phase 2
LNG Long An II,Long An,Gas,1500.0,3 added to PDP,LNG Long An II
LNG Long An II phase 2,Long An,Gas,1500.0,1 announced,LNG Long An II phase 2
LNG Long Sơn,Bà Rịa-Vũng Tàu,Gas,1200.0,3 added to PDP,LNG Long Sơn
LNG Long Sơn II+III,Bà Rịa-Vũng Tàu,Gas,3200.0,2 proposed,LNG Long Sơn II+III
LNG Long Sơn IV (địa điểm Tây),Bà Rịa-Vũng Tàu,Gas,3600.0,2 proposed,LNG Long Sơn IV (địa điểm Tây)
LNG Mũi Kê Gà 1,Bình Thuận,Gas,1200.0,2 proposed,LNG Mũi Kê Gà 1
"LNG Mũi Kê Gà 2,3",Bình Thuận,Gas,2400.0,1 announced,"LNG Mũi Kê Gà 2,3"
LNG Mỹ Giang,Khánh Hòa,Gas,6000.0,2 proposed,LNG Mỹ Giang
LNG Nghi Sơn (Thanh Hóa),Thanh Hóa,Gas,5000.0,2 proposed,LNG Nghi Sơn (Thanh Hóa)
LNG Nhơn Trạch 3,Đồng Nai,Gas,750.0,4 Construction,LNG Nhơn Trạch 3
